"filename", "language", "Markdown", "YAML", "Gradle", "JSON with Comments", "JSON", "Batch", "TypeScript", "PostCSS", "HTML", "Java Properties", "PowerShell", "Shell Script", "Java", "XML", "comment", "blank", "total"
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\features\session\components\session-layout\session-layout.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 2, 15, 215
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\features\session\components\session-list\session-list.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 0, 10, 216
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\shared\components\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"e:\workspaces\aicoderpg\notebooklm\frontend\src\app\shared\components\mode-selector\mode-selector.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 9, 112
"e:\workspaces\aicoderpg\notebooklm\frontend\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\workspaces\aicoderpg\notebooklm\frontend\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\workspaces\aicoderpg\notebooklm\frontend\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"e:\workspaces\aicoderpg\notebooklm\frontend\src\main.server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\workspaces\aicoderpg\notebooklm\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\workspaces\aicoderpg\notebooklm\frontend\src\server.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 24, 9, 69
"e:\workspaces\aicoderpg\notebooklm\frontend\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 6, 37, 249
"e:\workspaces\aicoderpg\notebooklm\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18
"e:\workspaces\aicoderpg\notebooklm\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 35
"e:\workspaces\aicoderpg\notebooklm\frontend\tsconfig.spec.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 15
"Total", "-", 2484, 185, 173, 38, 10002, 40, 1830, 210, 14, 11, 265, 226, 5365, 108, 1089, 2370, 24410
